[[ 36 130]
 [ 71 162]
 [ 73 168]
 [ 76 173]
 [ 85 215]
 [ 86 217]
 [ 88 214]
 [ 90 218]
 [ 95 226]
 [103 286]
 [104 101]
 [105 240]
 [105 257]
 [105 268]
 [108 275]
 [114 289]
 [116 288]
 [132 117]
 [137 234]
 [141 275]
 [143 177]
 [145 266]
 [153 174]
 [153 266]
 [154 165]
 [162 266]
 [163  88]
 [164 152]
 [167  87]
 [169 211]
 [170  99]
 [173  93]
 [173  97]
 [173 146]
 [182  66]
 [183 242]
 [185 104]
 [185 231]
 [187 214]
 [188 218]
 [193 223]
 [195 106]
 [195 264]
 [197 133]
 [198  74]
 [200  56]
 [203  54]
 [204 243]
 [206  59]
 [207  47]
 [210  57]
 [213  56]
 [214  59]
 [214 108]
 [215  55]
 [220 108]
 [226  44]
 [229  42]
 [229  92]
 [232  40]
 [235  98]
 [240  98]
 [246  98]
 [248 279]
 [250 227]
 [254  92]
 [256 102]
 [257  98]
 [259  42]
 [269  43]
 [271 115]
 [285 161]
 [292 138]
 [295  52]
 [299 253]
 [303 263]
 [308 250]
 [310  66]
 [310 255]
 [323 324]
 [330 245]
 [336  54]
 [336 314]
 [340  64]
 [353  73]
 [354 300]
 [355  80]
 [357 272]
 [358 102]
 [364 128]
 [369 276]
 [370 273]
 [382 183]
 [384 180]
 [398 162]
 [441 145]]
